Date,Open,High,Low,Close,Volume,Adj Close
2009-07-17,495.00,499.00,493.10,494.70,33158500,347.369
2009-07-16,489.00,495.45,484.55,491.60,28361900,345.192
2009-07-15,476.25,489.40,475.00,489.40,28064900,343.647
2009-07-14,475.00,478.20,469.65,473.80,26648100,332.693
2009-07-13,461.25,473.60,459.30,471.60,31132700,331.148
2009-07-10,464.75,465.56,459.25,461.50,32468200,324.056
2009-07-09,469.95,469.95,455.50,465.25,29467900,326.69
2009-07-08,465.15,474.95,463.30,465.00,37532400,326.514
2009-07-07,467.50,474.50,461.05,467.80,42238300,328.48
2009-07-06,475.15,477.90,465.25,466.70,000,327.708
2009-07-03,480.85,486.80,478.75,479.25,26489400,336.52
2009-07-02,485.85,489.55,478.55,480.95,51159700,337.714
2009-07-01,479.50,493.00,479.50,490.00,40286700,344.069
2009-06-30,485.45,488.00,474.40,477.80,59868000,335.502
2009-06-29,472.50,485.25,470.71,482.75,34470600,338.978
2009-06-26,480.95,482.95,469.50,473.45,40044000,332.447
2009-06-25,475.50,480.417,469.70,476.25,48700500,334.414
2009-06-24,480.25,480.50,470.00,477.00,50152200,334.94
2009-06-23,475.25,482.35,473.20,475.05,50787200,333.571
2009-06-22,495.20,497.75,475.80,478.00,49862900,335.642
2009-06-19,487.00,498.75,483.75,497.00,81473900,348.984
2009-06-18,492.00,585.75,480.75,485.00,39308700,340.558
2009-06-17,502.75,511.126,487.75,491.00,36791300,344.771
2009-06-16,506.50,510.056,502.25,503.00,30707800,353.197
2009-06-15,512.50,516.079,501.50,504.25,33613500,354.075
2009-06-12,524.00,539.535,513.25,515.00,32763800,361.623
2009-06-11,530.00,533.25,524.25,524.25,29664400,368.118
2009-06-10,536.50,543.75,531.63,533.00,47463000,374.262
2009-06-09,534.00,538.855,528.25,529.75,41702300,371.98
2009-06-08,523.75,528.25,519.75,525.25,36184400,368.82
2009-06-05,527.75,532.00,522.00,523.75,31817200,367.767
